"","teamID","yearID","Rostercost","meansalary","rostersize"
"351","HOU",1997,34777500,1121854.83870968,31
"352","HOU",1998,42374000,1324187.5,32
"353","HOU",1999,54914000,1716062.5,32
"354","HOU",2000,51289111,1899596.7037037,27
"355","HOU",2001,60612667,2164738.10714286,28
"356","HOU",2002,63448417,2349941.37037037,27
"357","HOU",2003,71040000,2732307.69230769,26
"358","HOU",2004,75397000,3015880,25
"359","HOU",2005,76779000,2953038.46153846,26
"360","HOU",2006,88694435,3547777.4,25
"361","HOU",2007,87759000,3250333.33333333,27
"362","HOU",2008,88930414,3293719.03703704,27
"363","HOU",2009,102996414,3814682,27
"364","HOU",2010,92355500,3298410.71428571,28
"365","HOU",2011,70694000,2437724.13793103,29
"366","HOU",2012,60651000,2332730.76923077,26
"367","HOU",2013,17890700,813213.636363636,22
"368","HOU",2014,35116300,1755815,20
"369","HOU",2015,72256200,2580578.57142857,28
"370","HOU",2016,94893700,3389060.71428571,28
"371","KCA",1985,9321179,423689.954545455,22
"372","KCA",1986,13043698,465846.357142857,28
"373","KCA",1987,11828056,438076.148148148,27
"374","KCA",1988,14556562,559867.769230769,26
"375","KCA",1989,18683568,691984,27
"376","KCA",1990,23361084,667459.542857143,35
"377","KCA",1991,26319834,1253325.42857143,21
"378","KCA",1992,33893834,1210494.07142857,28
"379","KCA",1993,41346167,1292067.71875,32
"380","KCA",1994,40541334,1501530.88888889,27
"381","KCA",1995,29532834,738320.85,40
"382","KCA",1996,20281250,614583.333333333,33
"383","KCA",1997,34655000,936621.621621622,37
"384","KCA",1998,36862500,945192.307692308,39
"385","KCA",1999,26225000,708783.783783784,37
"386","KCA",2000,23433000,836892.857142857,28
"387","KCA",2001,35422500,1265089.28571429,28
"388","KCA",2002,47257000,1629551.72413793,29
"389","KCA",2003,40518000,1558384.61538462,26
"390","KCA",2004,47609000,1586966.66666667,30
"391","KCA",2005,36881000,1365962.96296296,27
"392","KCA",2006,47294000,1630827.5862069,29
"393","KCA",2007,67116500,2165048.38709677,31
"394","KCA",2008,58245500,2240211.53846154,26
"395","KCA",2009,70519333,2712282.03846154,26
"396","KCA",2010,71405210,2644637.40740741,27
"397","KCA",2011,35712000,1373538.46153846,26
"398","KCA",2012,60916225,2030540.83333333,30
"399","KCA",2013,80091725,2966360.18518519,27
"400","KCA",2014,74594075,2983763,25
"401","KCA",2015,112107025,4152112.03703704,27
"402","KCA",2016,131487125,4534038.79310345,29
"403","LAA",2005,94867822,3271304.20689655,29
"404","LAA",2006,103472000,4138880,25
"405","LAA",2007,109251333,3641711.1,30
"406","LAA",2008,119216333,4110908.03448276,29
"407","LAA",2009,113709000,4061035.71428571,28
"408","LAA",2010,104963866,3619443.65517241,29
"409","LAA",2011,138543166,4469134.38709677,31
"410","LAA",2012,154485166,5327074.68965517,29
"411","LAA",2013,124174750,4775951.92307692,26
"412","LAA",2014,121988250,4518083.33333333,27
"413","LAA",2015,120005415,4444645,27
"414","LAA",2016,137251333,5278897.42307692,26
"415","LAN",1985,10967917,476865.956521739,23
"416","LAN",1986,14913776,466055.5,32
"417","LAN",1987,13675403,488407.25,28
"418","LAN",1988,16850515,561683.833333333,30
"419","LAN",1989,21071562,679727.806451613,31
"420","LAN",1990,21318704,609105.828571429,35
"421","LAN",1991,32790664,1093022.13333333,30
"422","LAN",1992,44788166,1544419.51724138,29
"423","LAN",1993,39331999,1229124.96875,32
"424","LAN",1994,38000001,1225806.48387097,31
"425","LAN",1995,39273201,1061437.86486486,37
"426","LAN",1996,35355000,1104843.75,32
"427","LAN",1997,45380304,1512676.8,30
"428","LAN",1998,48820000,1435882.35294118,34
"429","LAN",1999,80862453,2378307.44117647,34
"430","LAN",2000,87924286,3381703.30769231,26
"431","LAN",2001,109105953,3762274.24137931,29
"432","LAN",2002,94850953,3648113.57692308,26
"433","LAN",2003,105572620,4222904.8,25
"434","LAN",2004,92902001,3440814.85185185,27
"435","LAN",2005,83039000,2767966.66666667,30
"436","LAN",2006,98447187,3515970.96428571,28
"437","LAN",2007,108454524,3739811.17241379,29
"438","LAN",2008,118588536,4089259.86206897,29
"439","LAN",2009,100414592,4016583.68,25
"440","LAN",2010,95358016,3531778.37037037,27
"441","LAN",2011,104188999,3472966.63333333,30
"442","LAN",2012,95143575,3171452.5,30
"443","LAN",2013,223362196,6980068.625,32
"444","LAN",2014,217014600,6781706.25,32
"445","LAN",2015,215792000,7441103.44827586,29
"446","LAN",2016,221288380,6322525.14285714,35
"447","MIA",2012,118078000,4373259.25925926,27
"448","MIA",2013,33601900,1400079.16666667,24
"449","MIA",2014,41836900,1549514.81481481,27
"450","MIA",2015,68056500,2835687.5,24
"451","MIA",2016,77314202,2761221.5,28
"452","MIL",1998,33914904,997497.176470588,34
"453","MIL",1999,43377395,1355543.59375,32
"454","MIL",2000,36505333,1140791.65625,32
"455","MIL",2001,43886833,1567386.89285714,28
"456","MIL",2002,50287833,1734063.20689655,29
"457","MIL",2003,40627000,1400931.03448276,29
"458","MIL",2004,27528500,1101140,25
"459","MIL",2005,39934833,1597393.32,25
"460","MIL",2006,57568333,2214166.65384615,26
"461","MIL",2007,70986500,2629129.62962963,27
"462","MIL",2008,80937499,2790948.24137931,29
"463","MIL",2009,80182502,3083942.38461538,26
"464","MIL",2010,81108278,2796837.17241379,29
"465","MIL",2011,85497333,2849911.1,30
"466","MIL",2012,97653944,3755920.92307692,26
"467","MIL",2013,76947033,3077881.32,25
"468","MIL",2014,101217000,3748777.77777778,27
"469","MIL",2015,100850000,3477586.20689655,29
"470","MIL",2016,68775237,2292507.9,30
"471","MIN",1985,5764821,303411.631578947,19
"472","MIN",1986,8748167,397643.954545455,22
"473","MIN",1987,6397500,710833.333333333,9
"474","MIN",1988,12462666,541855.043478261,23
"475","MIN",1989,15531666,621266.64,25
"476","MIN",1990,14602000,405611.111111111,36
"477","MIN",1991,23361833,973409.708333333,24
"478","MIN",1992,28027834,1000994.07142857,28
"479","MIN",1993,28217933,855088.878787879,33
"480","MIN",1994,28438500,947950,30
"481","MIN",1995,25410500,770015.151515151,33
"482","MIN",1996,23117000,700515.151515151,33
"483","MIN",1997,34072500,1099112.90322581,31
"484","MIN",1998,27927500,963017.24137931,29
"485","MIN",1999,21257500,733017.24137931,29
"486","MIN",2000,16519500,635365.384615385,26
"487","MIN",2001,24130000,893703.703703704,27
"488","MIN",2002,40425000,1497222.22222222,27
"489","MIN",2003,55505000,2134807.69230769,26
"490","MIN",2004,53585000,2060961.53846154,26
"491","MIN",2005,56186000,2080962.96296296,27
"492","MIN",2006,63396006,2438307.92307692,26
"493","MIN",2007,71439500,2551410.71428571,28
"494","MIN",2008,56932766,2277310.64,25
"495","MIN",2009,65299266,2251698.82758621,29
"496","MIN",2010,97559166,3484255.92857143,28
"497","MIN",2011,112737000,4509480,25
"498","MIN",2012,94085000,3484629.62962963,27
"499","MIN",2013,75337500,2790277.77777778,27
"500","MIN",2014,83762500,3102314.81481481,27
"501","MIN",2015,107755000,4310200,25
"502","MIN",2016,102583200,4274300,24
"503","ML4",1985,11284107,593900.368421053,19
"504","ML4",1986,9943642,355130.071428571,28
"505","ML4",1987,7293224,260472.285714286,28
"506","ML4",1988,8402000,381909.090909091,22
"507","ML4",1989,11533000,384433.333333333,30
"508","ML4",1990,19719167,532950.459459459,37
"509","ML4",1991,23115500,1005021.73913043,23
"510","ML4",1992,31013667,1148654.33333333,27
"511","ML4",1993,23806834,721419.212121212,33
"512","ML4",1994,24350500,785500,31
"513","ML4",1995,17798825,508537.857142857,35
"514","ML4",1996,21730000,639117.647058823,34
"515","ML4",1997,23655338,695745.235294118,34
"516","MON",1985,9470166,473508.3,20
"517","MON",1986,11103600,346987.5,32
"518","MON",1987,6942052,289252.166666667,24
"519","MON",1988,9603333,384133.32,25
"520","MON",1989,13807389,493121.035714286,28
"521","MON",1990,16586388,535044.774193548,31
"522","MON",1991,10732333,631313.705882353,17
"523","MON",1992,15822334,586012.37037037,27
"524","MON",1993,18899333,484598.282051282,39
"525","MON",1994,19098000,682071.428571429,28
"526","MON",1995,12364000,374666.666666667,33
"527","MON",1996,16264500,524661.290322581,31
"528","MON",1997,19295500,622435.483870968,31
"529","MON",1998,10641500,322469.696969697,33
"530","MON",1999,17903000,511514.285714286,35
"531","MON",2000,32994333,1137735.62068966,29
"532","MON",2001,35159500,1134177.41935484,31
"533","MON",2002,38670500,1381089.28571429,28
"534","MON",2003,51948500,1998019.23076923,26
"535","MON",2004,40897500,1410258.62068966,29
"536","NYA",1985,14238204,711910.2,20
"537","NYA",1986,18494253,660509.035714286,28
"538","NYA",1987,17099714,488563.257142857,35
"539","NYA",1988,19441152,648038.4,30
