"","playerID","yearID","stint","POS","G","GS","InnOuts","PO","A","E","DP"
"862","penabe01",1985,1,"SS",6,4,97,5,8,1,2
"863","penato01",1985,1,"1B",1,0,5,3,2,0,0
"864","penato01",1985,1,"C",146,141,3801,922,100,12,9
"865","pendlte01",1985,1,"3B",149,145,3821,129,361,18,26
"866","percoja01",1985,1,"2B",125,122,3064,244,381,9,91
"867","perezpa01",1985,1,"P",22,22,286,7,9,1,0
"868","perezto01",1985,1,"1B",50,45,1108,340,22,2,34
"869","perlmjo01",1985,1,"P",6,0,26,0,2,0,0
"870","perryge01",1985,1,"1B",55,50,1319,541,37,9,48
"871","perryge01",1985,1,"OF",1,0,6,0,0,0,0
"872","perrypa02",1985,1,"P",6,0,37,0,1,0,0
"873","petrage01",1985,1,"C",41,31,837,179,16,2,6
"874","petryda01",1985,1,"P",34,34,716,36,26,0,3
"875","pettiga01",1985,1,"OF",122,118,3164,368,13,4,5
"876","phelpke01",1985,1,"1B",8,4,123,31,2,0,5
"877","phillto02",1985,1,"2B",24,9,352,18,43,1,7
"878","phillto02",1985,1,"3B",31,31,732,36,60,2,6
"879","picciro01",1985,1,"1B",13,0,73,19,4,0,2
"880","picciro01",1985,1,"2B",17,16,336,27,39,2,7
"881","picciro01",1985,1,"3B",19,4,239,6,18,3,2
"882","picciro01",1985,1,"SS",9,0,74,4,5,0,1
"883","pittach01",1985,1,"2B",4,3,78,5,9,1,4
"884","pittach01",1985,1,"3B",22,18,396,10,27,5,1
"885","polidgu01",1985,1,"OF",1,0,0,0,0,0,0
"886","polidgu01",1985,1,"SS",1,0,9,0,2,0,0
"887","ponceca01",1985,1,"1B",10,5,175,54,3,0,7
"888","ponceca01",1985,1,"OF",6,6,149,13,0,0,0
"889","portech01",1985,1,"P",6,1,41,2,0,1,0
"890","porteda02",1985,1,"C",82,68,1853,386,26,4,4
"891","portuma01",1985,1,"P",6,4,73,4,7,1,1
"892","powelde01",1985,1,"P",16,2,88,0,6,0,2
"893","powerte01",1985,1,"P",64,0,240,3,4,1,0
"894","preslji01",1985,1,"3B",154,154,4029,82,335,17,24
"895","pricejo02",1985,1,"P",26,8,194,1,4,0,1
"896","pryorgr01",1985,1,"1B",1,0,3,0,0,0,0
"897","pryorgr01",1985,1,"2B",20,15,435,35,46,1,11
"898","pryorgr01",1985,1,"3B",26,9,337,5,30,2,2
"899","pryorgr01",1985,1,"SS",13,4,122,7,11,2,3
"900","puckeki01",1985,1,"OF",161,160,4213,465,19,8,5
"901","puhlte01",1985,1,"OF",53,52,1279,92,3,0,1
"902","pujollu01",1985,1,"C",1,0,6,1,0,0,0
"903","quirkja01",1985,1,"1B",1,0,9,2,0,0,0
"904","quirkja01",1985,1,"C",17,15,387,64,8,1,1
"905","quiseda01",1985,1,"P",84,0,387,8,24,2,2
"906","rabbjo01",1985,1,"OF",1,0,3,0,0,0,0
"907","raineti01",1985,1,"OF",146,143,3875,284,8,2,4
"908","rajsiga01",1985,1,"1B",23,19,516,185,11,2,17
"909","ramirma01",1985,1,"2B",7,2,61,3,4,0,0
"910","ramirma01",1985,1,"SS",27,10,394,22,34,5,9
"911","ramirra01",1985,1,"SS",133,130,3466,214,451,32,115
