"","playerID","yearID","stint","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP","batav"
"325","gossari01",1985,1,11,1,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0
"326","gottji01",1985,1,51,6,10,2,0,3,3,0,1,1,30,0,0,4,0,0,0.196078431372549
"327","graperi01",1985,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"328","greenda03",1985,1,294,36,73,10,2,5,20,6,5,22,58,3,1,2,2,12,0.248299319727891
"329","greenmi01",1985,1,31,7,10,1,0,4,8,1,0,3,4,1,0,0,0,0,0.32258064516129
"330","grichbo01",1985,1,479,74,116,17,3,13,53,3,5,81,77,3,3,8,0,18,0.242171189979123
"331","griffal01",1985,1,614,75,166,18,7,2,64,24,9,20,50,1,0,5,7,6,0.270358306188925
"332","griffke01",1985,1,438,68,120,28,4,10,69,7,7,41,51,4,0,0,8,2,0.273972602739726
"333","grossgr01",1985,1,169,21,44,5,2,0,14,1,0,32,9,1,0,2,2,5,0.260355029585799
"334","grosske01",1985,1,65,1,9,2,0,1,6,0,0,2,23,0,0,8,0,1,0.138461538461538
"335","grosswa01",1985,1,217,31,51,8,0,11,18,1,1,46,48,0,0,1,0,3,0.235023041474654
"336","grubbjo01",1985,1,155,19,38,7,1,5,25,0,1,24,25,0,1,0,4,5,0.245161290322581
"337","grubeke01",1985,1,13,0,3,0,0,0,1,0,0,0,3,0,0,0,0,0,0.230769230769231
"338","guantce01",1985,1,17,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0.0588235294117647
"339","gubicma01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"340","guerrpe01",1985,1,487,99,156,22,2,33,87,12,4,83,68,14,6,0,5,13,0.320328542094456
"341","guidrro01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"342","guilloz01",1985,1,491,71,134,21,9,1,33,7,4,12,36,1,1,8,1,5,0.272912423625255
"343","gullibi01",1985,1,64,2,12,4,0,0,6,0,0,0,17,0,0,4,0,1,0.1875
"344","gumpeda01",1985,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
